orginazation,server,number,model,serial,time,degree,hum,fine dust,ultrafine dust,voc,co2,day
서울시,19,1,IAQ_SEOUL,V10G1803043,2.02E+11,20,52,7,5,10,673,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803176,2.02E+11,18,56,4,3,25,380,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802989,2.02E+11,18,55,6,4,280,567,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803777,2.02E+11,23,43,4,3,17,64,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803877,2.02E+11,23,40,6,3,14,441,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803810,2.02E+11,22,43,4,3,45,410,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802851,2.02E+11,22,44,5,4,17,318,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803925,2.02E+11,19,48,3,3,10,300,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802215,2.02E+11,22,45,4,3,174,337,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803406,2.02E+11,23,44,4,3,19,402,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803698,2.02E+11,23,41,4,3,7,518,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803820,2.02E+11,20,63,11,10,7,449,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803002,2.02E+11,22,40,4,3,47,299,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802078,2.02E+11,22,40,4,3,71,0,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802286,2.02E+11,20,64,5,4,23,520,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803131,2.02E+11,22,44,3,3,64,296,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802617,2.02E+11,19,49,6,4,19,275,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803731,2.02E+11,23,45,3,3,12,340,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803837,2.02E+11,22,46,4,3,13,334,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803816,2.02E+11,21,45,5,3,29,317,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803533,2.02E+11,23,42,3,3,29,330,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803716,2.02E+11,22,44,4,3,11,391,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803108,2.02E+11,20,50,4,3,19,309,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802607,2.02E+11,27,35,0,0,8,424,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802588,2.02E+11,23,41,4,3,37,418,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803855,2.02E+11,20,64,4,3,21,427,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1803343,2.02E+11,22,47,4,3,6,649,2021-05-10 0:05
서울시,19,1,IAQ_SEOUL,V10G1802849,2.02E+11,22,44,4,3,47,170,2021-05-10 0:05
